word,entity
Wild cabbage,ingredient
Tomato,ingredient
Salt,ingredient
Margarine,ingredient
Whiting,ingredient
Beef,ingredient
octopus,ingredient
Pork,ingredient
Conchiglie,food
Gelato,food
Fettuccine,food
Lasagne,food
Spaghetti,food
Couscous,food
Soup,food
Salad,food
Dried and salted cod,ingredient
Milk,product
Roundy's,organization
Schnucks,organization
Mozzarella,ingredient
Publix,organization
Entenmann's,organization
Cheese,product
Springfield,organization
Date palm,ingredient
Sunsweet Growers Inc.,organization
Puffers,ingredient
Crouton,food
Chicken,ingredient
Pistachio,food
Grupo Herdez,organization
Cadbury,organization
"Furman Foods, Inc.",organization
Bagels,food
Burrito,food
Welch's,organization
Shortening,product
Egg,food
Wrap,food
"Stroehmann Bakeries, L.C.",organization
Skipjack tuna,ingredient
Yuengling's Ice Cream Corp.,organization
Chocolate,food
Pecan nut,ingredient
Ditalini,food
Peach,ingredient
Mustard,ingredient
Cashew,ingredient
Horseradish,ingredient
Shrimp,ingredient
Mackerel,ingredient
Bread,food
Rigatoni,food
Fusilli,food
Anchovy,ingredient
Butter,product
Arugula,ingredient
Walnut,ingredient
Galinsoga,ingredient
Scrapple,food
Sandwiches,food
Croissants,food
Lindt &amp; Sprüngli,organization
Pancakes,food
Flour,food
Granola,food
Hempler Foods Group LLC,organization
Raspberry,ingredient
Gluten,food
Nutkao,organization
Pie,food
Bitter melon,food
Matzos,food
DF World Of Spices GmbH,organization
ShopRite,organization
Kunzler &amp; Company,organization
Rotini,food
Meat,food
"Matlaw's Food Products, Inc.",organization
SeaPak Shrimp &amp; Seafood Company,organization
Flahavan's,organization
Tabatchnick,organization
Voortman Cookies,organization
RiceSelect,organization
Teff,ingredient
Bavette,food
Manicotti,food
Beets,ingredient
Casserol,food
Ravioli,food
Braunschweiger,food
"Eli's Bread (Eli Zabar), Inc.",organization
McCormick Tractors,organization
Strawberry,ingredient
Pear,ingredient
Cereal,food
Pineapple,ingredient
French fries,food
Yogurt,food
Banana,ingredient
Macaroons,food
Hot chocolate,beverage
Cacao tree,ingredient
Litehouse Inc.,organization
Martin's,organization
Pandurata Alimentos Ltda.,organization
"Glutenfreeda Foods, Inc.",organization
"Popcornopolis, Llc",organization
Chai,beverage
Barilla,organization
Mifroma SA,organization
Balocco,organization
Balconi,organization
Streit's,organization
Necco,organization
Tomato purée,ingredient
Cuetara,organization
Hormel,organization
Naan,food
Chimichanga,food
B&amp;G,organization
Tostada,food
Lemonade,beverage
Horchata,beverage
Roots Canada,organization
Barbecue sauce,food
Caper,ingredient
Nairn's Oatcakes Limited,organization
Garlic,food
Tart,food
Crunchyroll,organization
Mariano's,organization
B&amp;G Foods,organization
SunRice,organization
Limburger,ingredient
Pizza,food
Vitarroz,organization
Cucumber,ingredient
Oat,ingredient
Enchilada,food
Macaroon,food
Manischewitz,organization
Sausage,ingredient
Cake,food
Rapeseed,ingredient
Marinara,ingredient
Panda,ingredient
Alessi,organization
Tortiglioni,food
Empresa Baiana de Águas e Saneamento S.A.,organization
Vermicelli,food
Huitlacoche,ingredient
PanaPesca USA Corporation,organization
Wholey's,organization
Salmon,ingredient
Tamarind,ingredient
Galeopsis,ingredient
Naturello Srl,organization
Salada,food
Tilapia,ingredient
Peppers,ingredient
Puffins,ingredient
Vegetable,food
Bufflehead,ingredient
"Marathon Enterprises, Inc.",organization
Rye,food
Snack,food
Buttermilk,beverage
Orzo,food
Paccheri,food
confection,food
Fiori,food
Lactose,ingredient
Croissant,food
Cavatappi,food
Carvel,organization
Greenbriers,ingredient
Sope,food
Rouses,organization
Cider,beverage
Caponata,food
Succotash,food
Artichoke,ingredient
Mushroom,ingredient
Ginger,ingredient
Quesadilla,food
Bruschetta,food
Matzo,food
Kefir,beverage
Pineapples,ingredient
Glaze,food
Pilaf,food
Okra,ingredient
Jackfruit,ingredient
Bulgur,food
Common raven,ingredient
Nopalito,food
Casserole,food
Taboule,food
Buffalo Wild Wings,organization
Pizzetta,food
Curtido,food
Cobbler,food
Spätzle,food
Tagliatelle,food
Fondue,food
Roselle,ingredient
Common fig,ingredient
Worcestershire,ingredient
Fettucelle,food
Macaroni,food
Dodders,ingredient
African,ingredient
Lampris guttatus,ingredient
Danone,organization
pancakes,food
Lamb,ingredient
Burrata,ingredient
Smoothie,beverage
Shortcake,food
Bagel,food
Strawberries,ingredient
Flounder,ingredient
Hickory,ingredient
Stuffing,food
Shanklish,ingredient
Lemon,ingredient
Latte,beverage
Apricot,ingredient
Achiote,food
Hot dog,food
Doughnut,food
Jellies,ingredient
Herbs,ingredient
Bucatini,food
Crab,ingredient
Chicharrón,food
Roast chicken,food
Farfalle,food
Chicken nugget,food
Scampi,food
Fajita,food
Trout,ingredient
Gordita,food
Slushy,beverage
Purée,food
Broccoli,ingredient
Smith's Food and Drug,organization
Tornado potato,food
Xanthosoma sagittifolium,ingredient
Mezzetta,organization
Monini,organization
Ronnybrook Farm Dairy Inc.,organization
Avocado,ingredient
Fuddruckers,organization
Milkshake,beverage
Auricchio,organization
Soursop,ingredient
milk,product
Lavender,ingredient
Vertical,organization
Yamasa,organization
Zevia,organization
Mizkan,organization
Parrots,ingredient
Yamamotoyama,organization
Dulse,food
Cawy Bottling,organization
Bohae,organization
Futaba Corporation,organization
Natillas,food
Pandan,ingredient
Libby's,organization
Fruitcake,food
Stouffer's,organization
Ovaltine,food
Jack's,organization
Tulip,ingredient
Mott's,organization
Mac's Convenience Stores,organization
Snickers,food
Nestlé,organization
Nabisco,organization
Splash,organization
Bison,ingredient
Roquefort,ingredient
Custard,food
Churros,food
Spaghettoni,food
Rootbeer,beverage
Mascarpone,ingredient
Sitos,ingredient
Ceviche,food
Noodle,food
Spam,food
Energy drink,beverage
Cheeseburger,food
Mazapan,food
Clams,ingredient
Collard,ingredient
Pudding,food
Reindeer,ingredient
Cherry,ingredient
Dips,food
Sour,beverage
Ratatouille,food
Sangria,beverage
Sweetbread,food
Currant,ingredient
Taralli,food
Panini,food
Cojoba arborea,ingredient
Delinuts B.V.,organization
Pecan,ingredient
Campanelle,food
Bouillabaisse,food
Onion,ingredient
Tonic water,beverage
Queso,product
Foie gras,food
Chives,ingredient
Tamale,food
Biscuit,food
Ramen,food
Pine,ingredient
Flax,ingredient
Butterkäse,ingredient
Pluot,ingredient
Goji,food
Batter,food
Halibut,ingredient
Snickerdoodle,food
MAC Cosmetics,organization
Watermelon,ingredient
Oysters,ingredient
Oroblanco,ingredient
Meringata,food
Bangers and mash,food
Moe's Southwest Grill,organization
Chocolate chip cookie,food
Chana masala,food
Haricots verts,ingredient
Creamed spinach,food
Spicy Cucumber Salad,food
Boar's Head Provision Company,organization
Beef Stroganoff,food
Dipping tortillas,food
Duck sauce,food
Orange chicken,food
"Pretzels, Inc.",organization
Sockeye salmon,ingredient
Green peas,ingredient
"Hope Foods, LLC",organization
Pizza cheese,ingredient
Frozen bars,food
Beer cheese,ingredient
The Skinny Dip Frozen Yogurt Bar,organization
Frutex Australia Pty Ltd.,organization
Original New York Seltzer,beverage
Tapioca balls,food
Sausage gravy,food
Texas toast,food
La Salsa,organization
Rose fish,ingredient
cheese tortellini,food
Pizza dough,food
Clam chowder,food
Bagels onion,food
Stacy's Pita Chips,organization
Smoked Gouda,ingredient
Smoked Mozzarella,ingredient
Fontina,ingredient
Chia seed,ingredient
Pine nut,ingredient
Hummus,food
Wild turkey,ingredient
Breakfast sandwich,food
Creme brulee,food
Petite Breakfast,ingredient
Brie,ingredient
Sweet tea,beverage
The Fremont Company,organization
Steen's cane syrup,food
Atlantic salmon,ingredient
"Vintage Italia, LLC",organization
Xanthan gum,food
Safflower oil,ingredient
Chocolate chip,food
Ground beef,food
Chicken breast,food
Cookie butter,food
Kidney beans,ingredient
Bostongurka,food
Wet walnuts,food
"Farmhouse Culture, Inc.",organization
Star anise,ingredient
Poppy seed,ingredient
Bean,food
Nutmeg,ingredient
Dill,food
Snack bars,food
"Sheila G Brands, LLC",organization
Hard candy,food
Ranch dressing,food
Lingonberry,ingredient
Red raspberry,ingredient
L&amp;L Hawaiian Barbecue,organization
pineapple juice,beverage
Capsicum annuum var. glabriusculum,ingredient
Chamomile,ingredient
Sam's Club,organization
Chocolate-covered potato chips,food
Lythraceae,ingredient
Chili oil,ingredient
Salsa picante,ingredient
Salsa roja picante,food
Fried eggplant,food
Miso,ingredient
Breakfast burrito,food
Matzo crackers,food
Marshmallow creme,food
Zenzai,food
Nathan's Famous,organization
Pepper jelly,food
Strawberry delight,food
Soy sauce,ingredient
Romesco,food
Rebujito,beverage
Olive salad,ingredient
Guajillo chili,ingredient
European anchovy,ingredient
Peruvian green sauce,ingredient
Pumpkin seed,ingredient
Fruit preserves,food
Brick cheese,ingredient
Tamarind Chutney,food
"Vitasoy USA, Inc.",organization
Butter cookie,food
Shiitake mushrooms,ingredient
Chicken curry,food
Wild rice,ingredient
WinCo Foods,organization
Capocollo,food
Grated parmesan,food
North Pacific hake,ingredient
King crab,ingredient
Cinnamon-rumped seedeater,ingredient
Brussels sprouts,ingredient
Navel Orange,ingredient
Atlantic cod,ingredient
Graham cracker,food
Steamed clams,food
Venchi,organization
Sticky rice in bamboo,food
Rice cake,food
Kalette,ingredient
Kimi's Artisan Gelato Ltd.,organization
Cheese fries,food
White shrimp,ingredient
Enoki mushrooms,ingredient
Chinook salmon,ingredient
Fried squid,food
Baked Ham,food
"Channel Fish Processing Company, Inc.",organization
Chinese broccoli,ingredient
Prunus americana,ingredient
Scrambled eggs,food
Potato pancake,food
Citrus,ingredient
Garlic powder,ingredient
Salt onion,food
Annatto,food
Straightneck squash,ingredient
Peruvian groundcherry,ingredient
Hazelnut butter,food
White trevally,ingredient
Ribeye steak,food
Chocolate-coated peanut,food
Beef bourguignon,food
Cotija cheese,ingredient
Fried cheese,food
Pimento cheese,ingredient
Nabulsi cheese,ingredient
"ASAHI ORGANIC CHEMICALS INDUSTRY CO.,LTD",organization
Twarog cheese,product
Cheese curd,ingredient
Marble cheese,ingredient
Oaxaca cheese,ingredient
World cheddar,product
Yuvarlakia,food
Tamarillo,ingredient
Head cheese,food
Greater flamingo,ingredient
Ancient Organics,organization
Cacao Nibs,food
Pecan pie,food
Chocolate milk,beverage
Apple crumble,food
milkfat milk,product
La Molisana,organization
Rustic Crust Inc.,organization
Original Jerky Company Limited,organization
Cream pie,food
"Racine Danish Kringles, Inc.",organization
Cashew butter,food
Flavored milk,food
Italian tomato pie,food
Organic milk,food
apple pie,food
Gelato bars,food
Strawberry pie,food
"Fruit Fillings, Inc.",organization
Dosa,food
Alphabet pasta,food
Pappardelle,food
Breakfast muffin,food
Pops bar,food
Peanut butter,ingredient
cow's milk,product
Penne,food
Porcini mushroom,ingredient
Italian soda,beverage
Traditional tortillas,ingredient
Fishcake,food
Kaiser roll,food
marinara sauce,ingredient
Lentil soup,food
Chum salmon,ingredient
Couscous italiano,food
Macaroni and cheese,food
Pickled eggs,food
Tortilla soup,food
Cobb salad,food
Galette-saucisse,food
Popeyes,organization
English muffin,food
Had salad,food
Chub mackerel,ingredient
Smoked bratwurst,food
Tomatillo,ingredient
Palak paneer,food
Spicy garlic fried chicken,food
Creekstone Farms Premium Beef,organization
Vitamin candy,food
Corn snack,food
Potato chip,food
Robeks,organization
Tea beverage,beverage
Caprese salad,food
Piña colada,beverage
Mongolian beef,food
Peanut candy,food
Cheese puffs,food
Italiano gelato,food
Stuffed peppers,food
Apple drink,beverage
Mustard green,ingredient
Buffalo Club,organization
Fast food,food
Gelatin dessert,food
Tamale pie,food
Chinese ground orchid,ingredient
New Frontier Foods Inc.,organization
Powder drink,beverage
Paneer makhani,food
Vegetable soup,food
Salmon salad,ingredient
Curd,ingredient
Kombucha tea,beverage
Green coffee,beverage
ground beef,food
Taco salad,food
Celery,ingredient
Tiramisu cake,food
Soft drink,beverage
"F&amp;S Produce Company, Inc.",organization
Bell pepper,ingredient
Small bread,food
"American Vegetable Soybean &amp; Edamame, Inc.",organization
Productora de Jugos SA,organization
Malt drink,beverage
Cassava,ingredient
Farmington Fresh LLC,organization
Papaya Juice,food
Love Kombucha Limited,organization
Lyreleaf greeneyes,ingredient
"Grimmway Enterprises, Inc.",organization
Sahba Factory for Liquid Eggs Co. Ltd.,organization
Edible mushroom,food
Bean dip,food
Traditional beans,ingredient
Bread crumbs,food
Safflower,ingredient
Instant coffee,beverage
