query,name,description,types,id,status,word_count
Hsyalm,,,,,succeed,one word
Kale,Wild cabbage,Plants,['Thing'],kg:/m/04ylr2,succeed,one word
Bluerunners,The Bluerunners,Album by The Bluerunners,"['MusicAlbum', 'Thing']",kg:/m/01qdm0_,succeed,one word
Sorbet,Sorbet,Frozen dessert,['Thing'],kg:/m/0209ts,succeed,one word
Cookies,Cookies,1975 film,"['Movie', 'Thing']",kg:/m/0b_v_qp,succeed,one word
Tomatoes,Tomato,Fruit,['Thing'],kg:/m/07j87,succeed,one word
Troprrgrpfrt,,,,,succeed,one word
Hummus,Chickpea,Legume,['Thing'],kg:/m/0fqtq,succeed,one word
Salt,Sodium chloride,Chemical compound,['Thing'],kg:/m/0ksgj,succeed,one word
Margarine,Margarine,Spread,['Thing'],kg:/m/01bfqc,succeed,one word
Ballyhoo,Ballyhoo,,['Thing'],kg:/m/06vlq0,succeed,one word
Whiting,Whiting,Fish,['Thing'],kg:/m/02d6zk,succeed,one word
Mahi,Mahendra Singh Dhoni,Indian cricketer,"['Person', 'Thing']",kg:/m/05p173,succeed,one word
Beef,Beef,Meat,['Thing'],kg:/m/0971v,succeed,one word
octopus,Octopus,Animal,['Thing'],kg:/m/05py0,succeed,one word
Pork,Pork,Meat,['Thing'],kg:/m/0frq6,succeed,one word
Skin,George H. W. Bush,41st U.S. President,"['Thing', 'Person']",kg:/m/034ls,succeed,one word
Conchiglie,Conchiglie,Pasta variety,['Thing'],kg:/m/08llml,succeed,one word
Dtlpgrntsbykiwi,,,,,succeed,one word
Rotelli,Rotelli,Fictional character,['Thing'],kg:/m/0v90n8s,succeed,one word
Three,Threesome,,['Thing'],kg:/m/025s6dm,succeed,one word
Gelato,Gelato,Dessert,['Thing'],kg:/m/02fz11,succeed,one word
Fettuccine,Fettuccine,Pasta variety,['Thing'],kg:/m/03hvr6,succeed,one word
Talancina,,,,,succeed,one word
Lasagna,Lasagne,Pasta variety,['Thing'],kg:/m/011jxn,succeed,one word
Spaghetti,Spaghetti,Pasta,['Thing'],kg:/m/0772h,succeed,one word
Italian,Serie A,Football league,"['Organization', 'Thing', 'SportsOrganization']",kg:/m/03zv9,succeed,one word
Rice,Rice,Cereal grain,['Thing'],kg:/m/09759,succeed,one word
Couscous,Couscous,Dish,['Thing'],kg:/m/01z6s,succeed,one word
Boil,Boiling point,,['Thing'],kg:/m/01bff,succeed,one word
Soup,Soup,Type of dish,['Thing'],kg:/m/01z1m1x,succeed,one word
Salad,Salad,Type of dish,['Thing'],kg:/m/0grw1,succeed,one word
Erewhon,Erewhon,Novel by Samuel Butler,"['Book', 'Thing']",kg:/m/02ms5,succeed,one word
Broth,Brothel,,['Thing'],kg:/m/01d6q_,succeed,one word
Woodstock,Woodstock,Music Festival,"['Thing', 'Event']",kg:/m/085kv,succeed,one word
Nancy's,Major Pettigrew's Last Stand,Book by Helen Simonson,"['Book', 'Thing']",kg:/m/0bdqnjl,succeed,one word
Albertson's,Albertsons,Grocery store company,"['Thing', 'Organization', 'Corporation']",kg:/m/0dnjt,succeed,one word
Pudding,Dessert,,['Thing'],kg:/m/0270h,succeed,one word
Salted,Dried and salted cod,Fish,['Thing'],kg:/m/0dzxxc,succeed,one word
Salsa,Salsa music,Musical genre,['Thing'],kg:/m/0ln16,succeed,one word
Teriyaki,Teriyaki,Cooking technique,['Thing'],kg:/m/018gxk,succeed,one word
Milk,Milk,Dairy product,['Thing'],kg:/m/04zpv,succeed,one word
Roundy's,Roundy's,Supermarket company,"['Thing', 'Organization', 'Corporation']",kg:/m/0ct0qb,succeed,one word
Schnucks,Schnucks,Supermarket company,"['Organization', 'Corporation', 'Thing']",kg:/m/02w9mp,succeed,one word
Amazonas,Amazonas,,"['Thing', 'Place', 'AdministrativeArea']",kg:/m/0350th,succeed,one word
Popcorn,Popcorn,,['Thing'],kg:/m/01hrv5,succeed,one word
Pierogies,Pierogi,Dumpling,['Thing'],kg:/m/028ph1,succeed,one word
Tofurky,Tofurky,,['Thing'],kg:/m/0h3s6b,succeed,one word
Multi,Multiplication,,['Thing'],kg:/m/057mq,succeed,one word
Prosciutto,Prosciutto,,['Thing'],kg:/m/037vsg,succeed,one word
Sweetener,Sugar substitute,Drug class,"['Product', 'Thing']",kg:/m/0g24k,succeed,one word
